miRNA_ID	Seq-ID	miRNA_loci	Expected_canonical_ID
gma-miR4374a.v1	miR1023_R4_L22	gma-miR4374a	gma-miR4374a
gma-miR4407.v1	miR749_R7_L22	gma-miR4407	gma-miR4407
gma-miR4412-3p.v1	miR160_R100_L21	gma-miR4412	gma-miR4412-3p
gma-miR4413a.v1	miR32_R482_L21	gma-miR4413a	gma-miR4413a
gma-miR4413a.v2	miR370_R27_L22	gma-miR4413a	gma-miR4413a
gma-miR4413a.v3	miR562_R12_L20	gma-miR4413a	gma-miR4413a
gma-miR4414a-3p.v1	miR925_R5_L21	gma-miR4414a	gma-miR4414a-3p
gma-miR4416a.v1	miR90_R211_L21	gma-miR4416a	gma-miR4416a
gma-miR4416a.v2	miR223_R61_L21	gma-miR4416a	gma-miR4416a
gma-miR4416a.v3	miR490_R15_L22	gma-miR4416a	gma-miR4416a
gma-miR482a-3p.v1	miR37_R447_L22	gma-miR482a	gma-miR482a-3p
gma-miR482a-3p.v2	miR971_R4_L21	gma-miR482a	gma-miR482a-3p
gma-miR5041-3p.v1	miR151_R107_L21	gma-miR5041	gma-miR5041-3p
gma-miR530a.v1	miR107_R164_L21	gma-miR530a	gma-miR530a
gma-miR5786.v1	miR133_R128_L22	gma-miR5786	gma-miR5786
gma-miR862a.v1	miR224_R61_L21	gma-miR862a	gma-miR862a
gma-miR862a.v2	miR1005_R4_L20	gma-miR862a	gma-miR862a
gma-miR862b.v1	miR158_R102_L21	gma-miR862b	gma-miR862b
gma-miR862b.v2	miR1005_R4_L20	gma-miR862b	gma-miR862b
gma-miR862b.v3	miR1296_R2_L21	gma-miR862b	gma-miR862b
gma-miR9725.v1	miR678_R8_L22	gma-miR9725	gma-miR9725
gma-miR9738.v1	miR1566_R2_L22	gma-miR9738	gma-miR9738
gma-miR9762.v1	miR342_R30_L22	gma-miR9762	gma-miR9762
gma-miR9762.v2	miR1036_R4_L22	gma-miR9762	gma-miR9762
gma_miRNC0397c.v1	miR839_R6_L21	gma_miRNC0397c	gma_miRNC0397c
gma_miRNC0431.v1	miR900_R5_L21	gma_miRNC0431	gma_miRNC0431
